,id_prodotto,descrizione,cat1,cat2,cat3,iva,pzxcar,um,costo,prezzo_vendita,brand
8638,COD_432E219F8C,acqua minerale ,BEVANDE,ACQUA,ACQUA EFFERVESCENTE NATURALE,22,24.0,PZ,0.62,0.79,B068
8648,COD_02A6C660E1,torta degli ang,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,PREPARATI PER TORTE,10,8.0,PZ,2.03,3.39,B019
8649,COD_CB909D06F2,torta degli ang,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,PREPARATI PER TORTE,10,8.0,PZ,2.84,4.19,B019
8650,COD_6FAC5F40FC,energydrink 50c,BEVANDE,BEVANDE GASSATE,ENERGY DRINK,22,24.0,PZ,1.49,1.95,B062
8660,COD_4460F65079,pomodorini 400g,SCATOLAME SALATO,DERIVATI DEL POMODORO,PELATI E POMODORINI,04,12.0,PZ,1.8,2.39,B049
8661,COD_404EA319BA,polpa 400gx3 fi,SCATOLAME SALATO,DERIVATI DEL POMODORO,POLPA DI POMODORO,04,8.0,PZ,1.15,2.29,B049
8662,COD_B8752177FB,arachidi 40gx3,SCATOLAME SALATO,FUORI PASTO SALATI,ALTRI FUORI PASTO SALATI,10,20.0,PZ,1.77,2.59,B019
8671,COD_72ED2721DB,snack cioccolat,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,26.0,PZ,1.71,2.89,B029
8674,COD_C70F71CC35,bibita tonica c,BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,6.0,PZ,2.01,3.09,B063
8680,COD_970CC17AF6,espresso casa 1,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,6.0,PZ,1.47,3.39,B079
8681,COD_84D776DC1D,filetti salmone,SCATOLAME SALATO,CONSERVE ANIMALI,ALTRE CONSERVE PESCE,10,10.0,PZ,2.51,3.69,B047
8682,COD_D6570020B3,filetti salmone,SCATOLAME SALATO,CONSERVE ANIMALI,ALTRE CONSERVE PESCE,10,10.0,PZ,3.76,5.09,B047
8683,COD_BCB9C6DD64,pasta sfoglia r,FRESCHI,ALTRI PRODOTTI FRESCHI,BASI,10,10.0,PZ,0.82,1.45,B020
8684,COD_A31388CFE8,pasta brisee 23,FRESCHI,ALTRI PRODOTTI FRESCHI,BASI,10,10.0,PZ,0.92,1.55,B020
8695,COD_AC13D61565,biscotti ca.cao,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,18.0,PZ,0.35,0.79,B007
8696,COD_288125864C,biscotti ottimi,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI INTEGRALI/MULTICEREALI,10,18.0,PZ,1.65,2.09,B007
8697,COD_C9864958FE,biscotti ottimi,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,18.0,PZ,0.85,1.29,B007
8698,COD_712554EA6D,biscotti ottimi,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,18.0,PZ,0.75,1.19,B007
8728,COD_9D65558E47,santal 3x200ml ,BEVANDE,SUCCHI NETTARI E SPREMUTE,BEVANDE BASE FRUTTA 30-99%,22,8.0,PZ,0.26,0.69,B085
8730,COD_335B7E2AF1,santal 100% 1lt,BEVANDE,SUCCHI NETTARI E SPREMUTE,BEVANDE BASE FRUTTA 30-99%,22,12.0,PZ,0.94,1.49,B085
8731,COD_DEAD5BDF6A,latte intero uh,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,12.0,PZ,1.75,2.29,B035
8736,COD_2B1105A8B7,latte uht 500ml,SCATOLAME DOLCE,CIBO INFANZIA,LATTE PER L'INFANZIA,10,6.0,PZ,0.58,0.95,B035
8737,COD_CA64C1444E,latte ps uht 01,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,0.72,0.89,B146
8738,COD_CD69155A68,latte ps uht 50,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,1.42,1.55,B146
8739,COD_6F1CE51DFC,latte uht 1l om,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,12.0,PZ,2.32,2.65,B035
8740,COD_4AB4083739,latte ps uht 1l,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,1.07,1.45,B146
8745,COD_95E806F509,latte ps uht 50,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,12.0,PZ,0.37,0.59,B036
8746,COD_5AD47EFF89,latte scremato ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,0.53,0.99,B036
8748,COD_F2374C209A,latte ps uht ac,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,1.32,1.79,B036
8755,COD_DC27512080,squeeze&go 85g ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,DESSERT UHT,10,10.0,PZ,1.11,1.39,B036
8756,COD_954F5B3DB2,squeeze&go 85g ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,DESSERT UHT,10,10.0,PZ,0.11,0.39,B036
8757,COD_6D44FF839E,burro 250g,FRESCHI,CONDIMENTI FRESCHI,BURRO,04,24.0,PZ,3.1,4.19,B040
8759,COD_9411B42CEB,crema bel paese,FRESCHI,LATTICINI UHT ED ASSIMILABILI,FORMAGGI UHT E SIMILARI,04,12.0,PZ,0.86,1.59,B040
8760,COD_2B6A5DD72C,crema bel paese,FRESCHI,LATTICINI UHT ED ASSIMILABILI,FORMAGGI UHT E SIMILARI,04,24.0,PZ,0.36,0.65,B040
8761,COD_85A2FDD322,crema bel paese,FRESCHI,LATTICINI UHT ED ASSIMILABILI,FORMAGGI UHT E SIMILARI,04,10.0,PZ,0.66,1.19,B040
8762,COD_96C1F52C94,gorgonzola dolc,FRESCHI,FORMAGGI BLS,FORMAGGI TAV. INTERI/PORZION.,04,8.0,PZ,0.98,1.69,B040
8763,COD_C76B0F3163,galbanino 550g,FRESCHI,FORMAGGI BLS,PASTE FILATE USO CUCINA,04,8.0,PZ,5.73,7.39,B040
8764,COD_C39F5778AD,formaggio galba,FRESCHI,FORMAGGI BLS,PASTE FILATE USO CUCINA,04,14.0,PZ,2.99,3.89,B040
8765,COD_5725A1DCB0,ricottine 100gx,FRESCHI,FORMAGGI BLS,FORMAGGI RICOTTA,04,6.0,PZ,0.81,1.59,B039
8766,COD_10BF030EC8,mascarpone 500g,FRESCHI,FORMAGGI BLS,MASCARPONE,04,8.0,PZ,2.88,4.99,B040
8767,COD_8B714E2186,mascarpone 250g,FRESCHI,FORMAGGI BLS,MASCARPONE,04,8.0,PZ,1.61,2.79,B040
8768,COD_FB2B420EBA,certosa 165g,FRESCHI,FORMAGGI BLS,CRESCENZA,04,6.0,PZ,1.43,1.99,B040
8769,COD_36B7EFC534,certosino 100g,FRESCHI,FORMAGGI BLS,CRESCENZA,04,12.0,PZ,1.75,2.09,B040
8770,COD_70361701BA,mortadellina p.,FRESCHI,SALUMI BLS,SALUMI INTERI/TRANCI,10,10.0,PZ,1.54,2.79,B040
8772,COD_728BEE1715,yogurt mio ' 25,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,1.6,2.39,B029
8773,COD_B39A184977,yogurt mio ' 25,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,0.7,1.49,B029
8774,COD_43B433A211,yogurt mio ' 25,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,1.2,1.99,B029
8775,COD_7135100558,yogurt mio ' 25,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,0.3,1.09,B029
8776,COD_AA1B458C19,yogurt mio ' 25,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,1.5,2.29,B029
8791,COD_EF1EC6E9F3,snack nesquik ',FRESCHI,FRESCHI DOLCI,FRESCHI DOLCI MERENDINE,10,8.0,PZ,1.59,2.19,B029
8792,COD_B6EB03BA6A,snack nesquik ',FRESCHI,FRESCHI DOLCI,FRESCHI DOLCI MERENDINE,10,8.0,PZ,0.29,0.89,B029
8794,COD_74A5700346,yogurtino 200g ,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,1.2,1.89,B155
8795,COD_78190094EE,yogurtino 200g ,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,0.36,1.09,B155
8796,COD_9453AD8B88,merendina al la,FRESCHI,FRESCHI DOLCI,FRESCHI DOLCI MERENDINE,10,10.0,PZ,0.38,1.09,B155
8823,COD_A18D1F3ACE,yog.magro 0% 12,FRESCHI,YOGURT,YOGURT MAGRO,10,5.0,PZ,0.37,0.69,B154
8824,COD_463E15F076,crema di yogurt,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,0.81,1.39,B154
8825,COD_22DD569413,crema di yogurt,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,1.09,1.69,B154
8826,COD_C9CC5045DA,crema di yogurt,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,1.97,2.59,B154
8827,COD_B3056EA0B6,crema yog.magro,FRESCHI,YOGURT,YOGURT MAGRO,10,6.0,PZ,1.8,2.35,B154
8828,COD_12BA618CD3,crema di yogurt,FRESCHI,YOGURT,YOGURT INTERO,10,6.0,PZ,0.59,1.15,B154
8829,COD_F4AF52D37A,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,1.45,1.95,B154
8830,COD_C6E943CD28,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,1.24,1.75,B154
8831,COD_02262B7677,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,1.34,1.85,B154
8832,COD_6C0F404DDA,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,0.04,0.55,B154
8833,COD_EA3A19DA2E,yogurt mix 150g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,0.36,0.85,B154
8847,COD_202B7E8A5D,yogurt 125gx2 b,FRESCHI,YOGURT,YOGURT FUNZIONALE,10,12.0,PZ,1.33,1.79,B146
8848,COD_9DAF9C9B54,yogurt 125gx8 0,FRESCHI,YOGURT,YOGURT MAGRO,10,3.0,PZ,2.09,3.29,B035
8849,COD_1BE881BC47,yogurt 125gx8 v,FRESCHI,YOGURT,YOGURT INTERO,10,3.0,PZ,1.69,2.89,B035
8850,COD_31C9CC2B00,yogurt 125gx2 f,FRESCHI,YOGURT,YOGURT FUNZIONALE,10,12.0,PZ,0.83,1.29,B146
8851,COD_2A24ED6FC2,dessert coppa m,FRESCHI,FRESCHI DOLCI,DESSERT FRESCHI,10,12.0,PZ,2.02,2.39,B035
8852,COD_C2E4C9F606,yosoi 125gx2 bi,FRESCHI,YOGURT,SOSTITUTIVI DELLO YOGURT,10,6.0,PZ,1.19,1.99,B043
8853,COD_8D53D2266A,yosoi 125gx2 ci,FRESCHI,YOGURT,SOSTITUTIVI DELLO YOGURT,10,6.0,PZ,1.49,2.29,B043
8854,COD_8D2DCB3AFA,yosoi 125gx2 ce,FRESCHI,YOGURT,SOSTITUTIVI DELLO YOGURT,10,6.0,PZ,1.69,2.49,B043
8855,COD_1FBB768961,yosoi 125gx2 fr,FRESCHI,YOGURT,SOSTITUTIVI DELLO YOGURT,10,6.0,PZ,0.79,1.59,B043
8856,COD_ECCDD0B576,nastrine 240g,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,12.0,PZ,2.78,3.29,B012
8857,COD_D8598BBEC0,stracchino 200g,GASTRONOMIA,FORMAGGI,FORMAGGI MORBIDI,04,8.0,KG,9.38,16.4,B042
8858,COD_8BC4606A0F,squaquerello 25,GASTRONOMIA,FORMAGGI,FORMAGGI MORBIDI,04,6.0,KG,8.89,17.5,B042
8863,COD_2B28BCCDC3,salame galbanet,GASTRONOMIA,SALUMI TAKE AWAY,"SALAME, SALSICCE, SOPPRESSATE",10,16.0,KG,11.44,19.4,B040
8864,COD_241A063A56,galbanone 5 kg ,GASTRONOMIA,FORMAGGI,FORMAGGI MORBIDI,04,2.0,KG,9.46,15.1,B040
8865,COD_2ABFE8ABBD,"bel paese kg 2,",GASTRONOMIA,FORMAGGI,FORMAGGI MORBIDI,04,2.0,KG,9.54,14.5,B040
8890,COD_9202B73B79,lame mach3 turb,CURA PERSONA,RASATURA/DEPILAZIONE,LAME E RASOI PER UOMO,22,10.0,PZ,13.46,19.29,B129
8891,COD_7915EE9C78,lame mach3 x5 s,CURA PERSONA,RASATURA/DEPILAZIONE,LAME E RASOI PER UOMO,22,10.0,PZ,11.44,17.15,B129
8902,COD_D40E2B144A,rasoi usa&getta,CURA PERSONA,RASATURA/DEPILAZIONE,LAME E RASOI PER UOMO,22,20.0,PZ,4.09,5.39,B129
8906,COD_CCE0D08277,giuncata alla r,GASTRONOMIA,LATTICINI,MOZZARELLE E FRESCHI VACCINI,04,1.0,KG,6.2,11.3,B140
8907,COD_B6F6A33E0A,trigger 650ml c,CURA CASA,DETERGENTI SUPERFICI,PULITORI VETRO+  MULTIUSO,22,12.0,PZ,1.94,2.79,B121
8908,COD_99EFD2B20D,additivo 500gr ,CURA CASA,CURA TESSUTI,TRATT. BUCATO/ASCIUGATURA,22,14.0,PZ,2.38,4.09,B088
8909,COD_0D8DEFCA8F,additivo 900ml ,CURA CASA,CURA TESSUTI,TRATT. BUCATO/ASCIUGATURA,22,12.0,PZ,3.4,5.09,B088
8910,COD_121416396A,perborato 500gr,CURA CASA,CURA TESSUTI,TRATT. BUCATO/ASCIUGATURA,22,14.0,PZ,2.51,4.19,B088
8914,COD_7546054D7A,energydrink nit,BEVANDE,BEVANDE GASSATE,ENERGY DRINK,22,24.0,PZ,0.67,1.15,B062
8915,COD_A4BB572B8E,bibita zero ora,BEVANDE,BEVANDE GASSATE,ARANCIATA,22,24.0,PZ,0.89,1.2,B058
8956,COD_89B3CFD1BF,scamorza lunga ,GASTRONOMIA,LATTICINI,MOZZARELLE E FRESCHI VACCINI,04,2.0,KG,8.0,12.4,B140
8957,COD_30CE70C69E,scamorza lunga ,GASTRONOMIA,LATTICINI,MOZZARELLE E FRESCHI VACCINI,04,2.0,KG,8.7,13.0,B140
8998,COD_025A39BA5E,benessere difes,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE TEA/CAMOMILLA,ALTRI INFUSI,10,4.0,PZ,2.94,3.99,B074
9001,COD_A767551DFB,benessere energ,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE TEA/CAMOMILLA,ALTRI INFUSI,10,4.0,PZ,3.26,4.39,B074
9010,COD_B7708E9F64,soffio di mouss,FRESCHI,YOGURT,YOGURT INTERO,10,10.0,PZ,0.01,0.65,B154
9011,COD_04F629C727,soffio di mouss,FRESCHI,YOGURT,YOGURT INTERO,10,10.0,PZ,1.31,1.95,B154
9012,COD_F413492E87,pesca e mango 2,FRESCHI,LATTE E PANNA FRESCA,KEFIR,10,10.0,PZ,1.44,1.95,B150
9016,COD_934E329346,cicoria gusto r,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,10,12.0,PZ,1.39,2.69,B098
9017,COD_0AA3C27AB0,contorno armoni,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,04,12.0,PZ,1.25,2.09,B098
9018,COD_706D902F11,succo derby zer,BEVANDE,SUCCHI NETTARI E SPREMUTE,BEVANDE BASE FRUTTA 30-99%,22,6.0,PZ,0.19,1.09,B085
9025,COD_884BDCCC42,biscotti 300g i,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,12.0,PZ,1.75,2.69,B012
9026,COD_30771332D4,biscotti 270g m,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,10.0,PZ,1.23,2.19,B012
9028,COD_A2F2D20A75,225gr bontrecci,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,9.0,PZ,1.74,3.19,B012
9029,COD_5CB42EBEAE,lievito per mic,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,50.0,PZ,1.47,1.89,B018
9036,COD_D5CF95558E,nuggets di poll,SURGELATI,SURGELATO CARNE,SURGELATI CARNE,10,10.0,PZ,2.64,3.69,B133
9047,COD_3F44673B7F,merenda latte&b,FRESCHI,FRESCHI DOLCI,FRESCHI DOLCI MERENDINE,10,10.0,PZ,1.35,2.09,B155
9060,COD_C4E31D71E0,baci bijou caff,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,PRALINE E CIOCCOLATINI,10,10.0,PZ,5.66,8.59,B028
9062,COD_C7EDFA2613,a m.mio x36cap ,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,10.0,PZ,7.71,13.09,B076
9063,COD_26C5385DC6,a modo mio x36c,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,10.0,PZ,8.87,14.39,B076
9066,COD_1EE5F23321,zuppa toscana 3,FRUTTA E VERDURA,QUINTA GAMMA,PRECOTTI/COTTI,10,1.0,PZ,0.7,1.79,B138
9067,COD_9EBEFE7D6E,zuppa pugliese ,FRUTTA E VERDURA,QUINTA GAMMA,PRECOTTI/COTTI,10,1.0,PZ,0.5,1.59,B138
9068,COD_021C3563D0,zuppa contadina,FRUTTA E VERDURA,QUINTA GAMMA,PRECOTTI/COTTI,10,1.0,PZ,1.7,2.79,B138
9069,COD_6CADA890B0,zuppa lenticche,FRUTTA E VERDURA,QUINTA GAMMA,PRECOTTI/COTTI,10,1.0,PZ,1.11,1.99,B138
9071,COD_30AB2D3345,sorpresa imbuti,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,UOVA O SFERE CAVE DI CIOCCOLATO,10,32.0,PZ,3.37,4.59,B026
9072,COD_587BE1F5E0,barretta maxi t,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,28.0,PZ,1.96,3.09,B026
9073,COD_214B6ED02E,barretta cereal,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,18.0,PZ,2.26,3.39,B026
9074,COD_C73049CB8C,mini bueno t20x,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,16.0,PZ,2.48,3.49,B026
