,id_prodotto,descrizione,cat1,cat2,cat3,iva,pzxcar,um,costo,prezzo_vendita,brand
0,COD_8E57DA9133,torta cacao 448,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,PREPARATI PER TORTE,10,8.0,PZ,2.51,3.59,B019
1,COD_45543E2702,sacco 110lt cm.,CURA CASA,USA E GETTA - AVVOL E SACCHETTI,SACCHETTI SPAZZATURA,22,25.0,PZ,1.13,2.29,B094
2,COD_A2CC03611D,tea 25fl yellow,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE TEA/CAMOMILLA,TEA,10,12.0,PZ,1.84,2.49,B073
3,COD_EED5868A81,zucchero velo 1,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,24.0,PZ,1.24,1.59,B018
6,COD_499DF391F7,tonno olio oliv,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO SOTT'OLIO,10,24.0,PZ,5.49,7.09,B045
7,COD_46B1D6EB53,caffe' 250gx2 g,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,10.0,PZ,5.72,8.79,B076
17,COD_5FB3D95670,dado x10 sapori,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,24.0,PZ,1.46,1.99,B052
22,COD_365DB0463F,pelati 400g,SCATOLAME SALATO,DERIVATI DEL POMODORO,PELATI E POMODORINI,04,24.0,PZ,0.12,0.39,B049
23,COD_D8992CD504,soyadrink 1lt g,FRESCHI,LATTICINI UHT ED ASSIMILABILI,SOST. LATTE UHT,22,10.0,PZ,1.09,1.89,B043
24,COD_51CAC60D56,olio soya lt1,SCATOLAME SALATO,"OLIO,ACETO,SUCCO LIMONE: SEMI, ACETO,LIM",OLIO DI SEMI,04,12.0,PZ,2.44,3.39,B043
25,COD_73558421B3,biscotti 320g,SCATOLAME DOLCE,CIBO INFANZIA,BISCOTTI INFANZIA,10,6.0,PZ,3.69,4.39,B155
30,COD_349DC488E7,tonno olio oliv,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO SOTT'OLIO,10,14.0,PZ,7.82,10.79,B045
35,COD_9106CB5782,lievito 10 bust,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,14.0,PZ,2.47,3.69,B018
38,COD_B937C8FE4A,caffe' 250g mac,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,20.0,PZ,3.12,4.89,B078
39,COD_9EEE32141F,caffe' 250gx2 m,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,10.0,PZ,7.26,10.19,B078
40,COD_5C2B93C045,fecola di patat,SCATOLAME SALATO,INGREDIENTI  BASE - FARINE,FARINE/ MISCELE,10,12.0,PZ,0.35,0.79,B018
41,COD_4DBCF3AD2B,ciobar 125g,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE CACAO/LATT/ORZO,MODIFICATORI DEL LATTE CON CACAO,10,14.0,PZ,1.1,1.85,B019
43,COD_6DB950C7A1,passata 700g ve,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,0.47,0.89,B049
49,COD_FA7D8F24E4,"bibita lt.1,5",BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,6.0,PZ,0.62,1.19,B059
52,COD_44D489C19D,spaghettoni 8 5,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.08,0.25,B001
53,COD_9A8D0597B5,ditalini rigati,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,16.0,PZ,0.18,0.35,B001
62,COD_4FCF035DEE,bibita cola reg,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,1.35,1.79,B057
63,COD_2E9C295E87,sugo 400g pomod,SCATOLAME SALATO,SUGHI SALSE E CONDIMENTI,SUGHI PRONTI E BASE,10,6.0,PZ,1.89,2.69,B001
65,COD_870CA9D3EF,wurstel suino 1,FRESCHI,PRECOTTI,WURSTEL,10,15.0,PZ,0.9,1.29,B144
78,COD_C6B40379B3,lenticchie 410g,SCATOLAME SALATO,VEGETALI CONSERVATI,ALTRI LEGUMI VEGETALI E CEREALI CONSERVATI,10,12.0,PZ,0.5,0.99,B049
79,COD_2A640E1514,lievito 48gx3,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,50.0,PZ,1.27,1.69,B018
80,COD_924A57CB64,fantasie 25gx6 ,FRESCHI,FORMAGGI BLS,FRESCHI INDUSTRIALI,04,10.0,PZ,3.18,4.19,B151
82,COD_5E3BD84A67,panno multiuso ,CURA CASA,ACCESSORI,PANNI  VETRO E MULTIUSO,22,20.0,PZ,1.46,2.19,B084
87,COD_27AE6CA546,"bibita 1,5l",BEVANDE,BEVANDE GASSATE,ARANCIATA,22,6.0,PZ,0.51,1.09,B058
94,COD_5B227C72F6,bibita senza ca,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,0.89,1.39,B054
103,COD_6744A9FD91,dado x10 classi,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,24.0,PZ,1.27,1.79,B052
105,COD_550F169395,risotto 175g ga,SCATOLAME SALATO,PREPARATI E PIATTI PRONTI,PREP PRIMI PIATTI,10,15.0,PZ,0.53,1.19,B052
109,COD_015A52C41F,' dolce da mont,FRESCHI,LATTICINI UHT - PANNA E BESCIAMELLA,PANNA UHT,10,24.0,PZ,1.17,1.49,B153
124,COD_09C632F763,porchetta di lo,GASTRONOMIA,SALUMI,ALTRI SALUMI COTTI,10,2.0,KG,7.75,19.5,B141
125,COD_CB20C8F0E9,bibita senza ca,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,0.46,0.89,B057
126,COD_81B8235E55,bibita 33cl reg,BEVANDE,BEVANDE GASSATE,COLA,22,24.0,PZ,-0.12,0.06,B057
127,COD_E89823E840,bibita zero cl.,BEVANDE,BEVANDE GASSATE,COLA,22,24.0,PZ,-0.32,-0.14,B057
128,COD_FB678EBC28,bibita cola s.z,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,0.76,1.19,B057
129,COD_9CE88C562E,sgrass.trigger ,CURA CASA,DETERGENTI SUPERFICI,PICCOLE SUPERFICI,22,12.0,PZ,1.57,2.65,B086
137,COD_0E518C3644,piadelle toast ,SCATOLAME SALATO,PANE E SOSTITUTIVI: PANINI E SPECIALITA',SPECIALITA' SOSTITUTIVI PANE,04,12.0,PZ,0.91,1.39,B012
138,COD_D0C7928672,sfoglie gran 15,SCATOLAME SALATO,FUORI PASTO SALATI,ALTRI FUORI PASTO SALATI,04,12.0,PZ,0.85,1.79,B014
148,COD_D6B61AEF94,piselli novelli,SURGELATI,SURGELATO VERDURE,SURG. VEGETALI NATURALI/FRUTTA,04,12.0,PZ,2.98,3.79,B097
153,COD_410531A639,spinacine pollo,MACELLERIA,POLLAME,ELABORATI COTTI POLLAME,10,4.0,PZ,4.05,5.09,B133
154,COD_38A47F86CB,spinacina pollo,MACELLERIA,POLLAME,ELABORATI COTTI POLLAME,10,10.0,PZ,2.6,3.69,B133
168,COD_09F36720EF,spinacina granc,MACELLERIA,POLLAME,ELABORATI COTTI POLLAME,10,10.0,PZ,2.99,5.39,B133
169,COD_2A8EDE0359,cordon bleu x4 ,MACELLERIA,POLLAME,ELABORATI COTTI POLLAME,10,4.0,PZ,2.42,5.29,B133
170,COD_FE9ABCCAE1,cordon bleu x2 ,MACELLERIA,POLLAME,ELABORATI COTTI POLLAME,10,8.0,PZ,3.04,4.49,B133
172,COD_00A3A7C5A5,det.lavastovigl,CURA CASA,DETERGENTE STOVIGLIE,LAVASTOVIGLIE,22,7.0,PZ,4.09,5.8,B116
173,COD_0AB10B3C38,hamburger tacch,MACELLERIA,TACCHINO,ELABORATI TACCHINO,10,6.0,PZ,4.04,5.59,B133
174,COD_A1C75B2490,salsiccia lugan,MACELLERIA,POLLAME,ELABORATI CRUDI POLLAME,10,12.0,PZ,2.7,4.19,B133
177,COD_6BDCC6FEA1,160g flamin' ch,SCATOLAME SALATO,FUORI PASTO SALATI,ESTRUSI,10,19.0,PZ,2.37,2.99,B103
179,COD_1CA3B113DC,viennese cotole,MACELLERIA,POLLAME,ELABORATI COTTI POLLAME,10,10.0,PZ,2.19,3.39,B133
181,COD_98C50BD1F1,equino sfilacci,MACELLERIA,EQUINO,EQUINO ATM,10,10.0,PZ,4.03,5.59,B133
182,COD_D083B8593D,ringo biscocioc,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,12.0,PZ,1.27,1.99,B014
183,COD_22206A4648,ringo biscocioc,SCATOLAME DOLCE,"FUORI PASTO DOLCI: CARAMELLE,GOMME,SNACK",SNACK DOLCI,10,12.0,PZ,2.38,3.19,B014
184,COD_A5FAD5BCB6,fazzoletti box ,CURA PERSONA,IGIENICO SANITARI - COTONE E CARTA,FAZZOLETTI DI CARTA,22,15.0,PZ,1.81,2.69,B091
188,COD_700CB52AE2,exotic mix bio ,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,ALTRA FRUTTA SECCA,04,12.0,PZ,1.01,1.79,B137
189,COD_48C303DF6C,wellness mix bi,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,ALTRA FRUTTA SECCA,04,12.0,PZ,2.21,2.99,B137
190,COD_23BB43F3DE,mandorle sgusc.,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,MANDORLE,04,12.0,PZ,1.81,2.69,B137
191,COD_109C67E460,cacao milk 350 ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,BAVANDE BASE LATTE UHT,22,8.0,PZ,1.84,2.69,B147
192,COD_6D630BB299,vaniglia milk 3,FRESCHI,LATTICINI UHT ED ASSIMILABILI,BAVANDE BASE LATTE UHT,22,8.0,PZ,1.53,2.39,B147
193,COD_37FE373531,cremoso bianco ,FRESCHI,LATTE E PANNA FRESCA,KEFIR,10,6.0,PZ,1.71,2.39,B150
194,COD_5A4A0121EF,da bere ara/zen,FRESCHI,LATTE E PANNA FRESCA,KEFIR,10,8.0,PZ,1.54,2.09,B150
196,COD_AAD959351B,salsiccia migno,MACELLERIA,SUINO,SUINO ATM,10,8.0,PZ,2.94,4.6,B134
201,COD_3ABD691036,spiedino rustic,MACELLERIA,POLLAME,ELABORATI CRUDI POLLAME,10,6.0,KG,6.83,12.2,B135
206,COD_3F890A7486,cotoletta pollo,MACELLERIA,POLLAME,POLLAME ANONIMO E MARCA,10,6.0,PZ,2.35,4.1,B135
207,COD_DE53A0D71B,hamburger di ta,MACELLERIA,TACCHINO,ELABORATI TACCHINO,10,12.0,PZ,1.33,2.39,B135
213,COD_90BCBF0977,latte ps no lat,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,10.0,PZ,1.35,1.79,B044
228,COD_0FA691289D,plumcake s/glut,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,8.0,PZ,1.0,1.89,B022
242,COD_7433F33EFD,caprino di latt,FRESCHI,FORMAGGI BLS,ALTRI FORMAGGI FRESCHI,04,12.0,PZ,0.15,0.75,B042
243,COD_56F67DFB2C,galbanetto fett,FRESCHI,SALUMI BLS,SALUMI AFFETTATI,10,10.0,PZ,1.07,1.89,B040
244,COD_A847CB8B78,ginger beer cl.,BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,6.0,PZ,1.81,3.19,B063
247,COD_18EF9339F8,suino sottiliss,MACELLERIA,SUINO,SUINO,10,8.0,PZ,1.0,3.39,B133
248,COD_24275B4872,tagliata filett,MACELLERIA,SUINO,SUINO,10,6.0,PZ,3.83,5.4,B133
249,COD_C18306F8CC,costine con ros,MACELLERIA,SUINO,SUINO,10,9.0,PZ,5.11,7.49,B133
250,COD_DFB7672D66,costine c/peper,MACELLERIA,SUINO,SUINO,10,9.0,PZ,5.01,7.39,B133
263,COD_8C13F0294B,crema fredda ca,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,PREPARATI PER DESSERT,10,10.0,PZ,4.2,5.89,B080
278,COD_C8DDD5B91B,latte benefit u,FRESCHI,LATTICINI UHT ED ASSIMILABILI,LATTE UHT,04,6.0,PZ,0.73,1.55,B146
279,COD_91740CB638,latte al caffè ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,BAVANDE BASE LATTE UHT,22,6.0,PZ,0.1,0.49,B146
280,COD_7DD329026B,latte al ciocc ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,BAVANDE BASE LATTE UHT,22,6.0,PZ,1.5,1.89,B146
282,COD_BA3139B7A3,"det. pav. 1,1l ",CURA CASA,DETERGENTI SUPERFICI,PAVIMENTI,22,12.0,PZ,1.48,2.29,B120
283,COD_84878EB3FD,"det. pav. 1,1l ",CURA CASA,DETERGENTI SUPERFICI,PAVIMENTI,22,12.0,PZ,1.51,2.39,B120
284,COD_D1713F5285,"det. pav. 1,1l ",CURA CASA,DETERGENTI SUPERFICI,PAVIMENTI,22,12.0,PZ,1.74,2.49,B120
285,COD_5B42EF2892,"det. pav. 1,1l ",CURA CASA,DETERGENTI SUPERFICI,PAVIMENTI,22,12.0,PZ,2.64,3.49,B120
286,COD_B41587051E,wc gel 750ml oc,CURA CASA,DETERGENTI SUPERFICI,PICCOLE SUPERFICI BAGNO,22,15.0,PZ,0.57,1.69,B120
288,COD_1793F765A1,cialde espresso,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,8.0,PZ,6.32,9.39,B079
297,COD_939F639576,powercaps class,CURA CASA,DETERGENZA BUCATO,BUCATO LAV./BIVAL. FINI/SPECIF,22,8.0,PZ,3.01,5.09,B089
298,COD_386808AFA6,powercaps color,CURA CASA,DETERGENZA BUCATO,BUCATO LAV./BIVAL. FINI/SPECIF,22,8.0,PZ,2.55,4.59,B089
299,COD_02EA56598E,liq. igiene 35l,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,4.0,PZ,2.92,4.89,B089
300,COD_8670ED8DCD,220g bicchiere,SCATOLAME DOLCE,SPALMABILI DOLCI,CREME SPALMABILI DOLCI,10,15.0,PZ,2.2,2.99,B023
301,COD_2F203EF971,950gr vasetto,SCATOLAME DOLCE,SPALMABILI DOLCI,CREME SPALMABILI DOLCI,10,6.0,PZ,6.23,8.09,B023
303,COD_706BC67F69,liq. color 35la,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,4.0,PZ,3.72,5.69,B089
304,COD_83FA9AA16C,liq. class. 35l,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,4.0,PZ,3.72,5.69,B089
305,COD_64410D5453,liq. class. 50 ,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,4.0,PZ,4.85,6.59,B089
306,COD_B60EA6B51A,liq. color. 50 ,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,4.0,PZ,4.57,6.29,B089
307,COD_7FFE8B7681,polv. 62 misuri,CURA CASA,DETERGENZA BUCATO,BUCATO LAVATRICE/BIVALENTI CON AMMORBIDENTE,22,1.0,PZ,8.02,11.7,B089
317,COD_644AE5642A,spalmabile nuvo,FRESCHI,FORMAGGI BLS,FRESCHI INDUSTRIALI,04,6.0,PZ,0.36,1.29,B149
318,COD_DDC23E2CE6,latte baby uht ,SCATOLAME DOLCE,CIBO INFANZIA,LATTE PER L'INFANZIA,10,3.0,PZ,2.25,2.69,B036
328,COD_0BB7B46997,spazzolino omni,CURA PERSONA,IGIENE ORALE,SPAZZOLINI,22,12.0,PZ,2.76,4.49,B130
329,COD_275448FEB2,pann. &luna mut,CURA PERSONA,PRIMA INFANZIA - PANNOLINI,PANNOLINI,10,4.0,PZ,8.28,12.39,B087
330,COD_190A05A428,pann. &luna mut,CURA PERSONA,PRIMA INFANZIA - PANNOLINI,PANNOLINI,10,4.0,PZ,10.13,13.79,B087
331,COD_9C928B0CCB,pann. &luna mut,CURA PERSONA,PRIMA INFANZIA - PANNOLINI,PANNOLINI,10,3.0,PZ,9.38,13.49,B087
336,COD_457FF84D10,powercaps igien,CURA CASA,DETERGENZA BUCATO,BUCATO LAV./BIVAL. FINI/SPECIF,22,8.0,PZ,3.03,5.09,B089
343,COD_CE80449569,bevanda iso pro,BEVANDE,BEVANDE PIATTE,INTEGRATORI E ACQUE AROMATIZZATE,22,12.0,PZ,1.69,2.39,B071
344,COD_D57C3F62F5,bevanda iso pro,BEVANDE,BEVANDE PIATTE,INTEGRATORI E ACQUE AROMATIZZATE,22,12.0,PZ,1.69,2.39,B071
345,COD_C0C80FEB31,spazzolino prof,CURA PERSONA,IGIENE ORALE,SPAZZOLINI,22,12.0,PZ,1.44,1.85,B132
350,COD_51FC5A2E34,squeez mela pes,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,MOUSSE E SMOOTIES,10,6.0,PZ,0.29,0.59,B136
351,COD_9EB152DBCB,squeez mela per,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,MOUSSE E SMOOTIES,10,6.0,PZ,0.89,1.19,B136
352,COD_4EFDC07B7F,squeez mela cil,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,MOUSSE E SMOOTIES,10,6.0,PZ,1.49,1.79,B136
357,COD_D09C60BF67,muu muu 115gx4 ,FRESCHI,FRESCHI DOLCI,DESSERT FRESCHI,10,3.0,PZ,1.33,2.69,B019
365,COD_F20FC7FDC1,muu muu 115gx4 ,FRESCHI,FRESCHI DOLCI,DESSERT FRESCHI,10,3.0,PZ,2.34,3.69,B019
366,COD_A1F3F635BF,tea 45 filtri c,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE TEA/CAMOMILLA,TEA,10,24.0,PZ,2.47,3.29,B051
367,COD_8758CD9130,croissant x5 25,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,12.0,PZ,1.34,1.89,B022
368,COD_961B236652,plumcake s.glut,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,8.0,PZ,1.46,2.39,B022
380,COD_9F68E9EAB8,det. spray azio,CURA CASA,DETERGENTI SUPERFICI,PICCOLE SUPERFICI BAGNO,22,12.0,PZ,1.61,2.49,B120
389,COD_DDBEA40C17,shampoo miracle,CURA PERSONA,CAPELLI,SHAMPOO,22,6.0,PZ,3.69,6.19,B126
390,COD_083CED4FCB,maschera ricci ,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,3.51,6.09,B126
391,COD_9839A57A57,olio rig&prot. ,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,3.65,6.19,B126
392,COD_CEAC018F72,shampoo miracle,CURA PERSONA,CAPELLI,SHAMPOO,22,6.0,PZ,4.0,6.69,B126
393,COD_B568D7BD84,siero bond repa,CURA PERSONA,CAPELLI,SHAMPOO,22,6.0,PZ,3.38,5.99,B126
394,COD_B22AEF314F,balsamo bond re,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,4.52,7.09,B126
395,COD_B03A6B08BB,masch. crema lu,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,4.78,7.09,B126
396,COD_5DA522202B,maschera cactus,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,3.52,6.09,B126
397,COD_352E90FF42,maschera seta 3,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,3.2,5.79,B126
398,COD_7C6EDAC1C4,maschera lisci&,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,3.16,5.79,B126
399,COD_13E3A43489,maschera bond r,CURA PERSONA,CAPELLI,DOPO SHAMPOO,22,6.0,PZ,4.03,6.59,B126
405,COD_2BFAE1BA3E,birra 50cl filt,BEVANDE,BIRRE,BIRRE NAZIONALI VETRO,22,20.0,PZ,1.4,1.99,B111
406,COD_4A430DDE4A,birra 33clx3 fi,BEVANDE,BIRRE,BIRRE NAZIONALI VETRO,22,8.0,PZ,0.87,2.09,B111
411,COD_3490DC1D6E,rasoio labs sil,CURA PERSONA,RASATURA/DEPILAZIONE,LAME E RASOI PER UOMO,22,6.0,PZ,12.33,19.5,B129
412,COD_BF3685AEFC,lame labs x4pz,CURA PERSONA,RASATURA/DEPILAZIONE,LAME E RASOI PER UOMO,22,10.0,PZ,16.73,23.5,B129
413,COD_49E332ED1E,gel labs 198ml,CURA PERSONA,RASATURA/DEPILAZIONE,PREBARBA,22,6.0,PZ,4.29,6.29,B129
420,COD_C6CF974623,birbe rings 1kg,SURGELATI,SURGELATO CARNE,SURGELATI CARNE,10,3.0,PZ,4.46,6.3,B135
421,COD_88E204B949,nuggets pastell,SURGELATI,SURGELATO CARNE,SURGELATI CARNE,10,3.0,PZ,4.36,6.2,B135
434,COD_E5925079D6,hamburger pollo,MACELLERIA,POLLAME,POLLAME ANONIMO E MARCA,10,6.0,PZ,2.59,3.79,B134
448,COD_479944E9D5,formaggini 140 ,FRESCHI,LATTICINI UHT ED ASSIMILABILI,FORMAGGI UHT E SIMILARI,04,12.0,PZ,0.92,1.69,B042
455,COD_BE96F1EC32,merenda fisarmo,SCATOLAME DOLCE,PRODOTTI DA FORNO: MERENDINE E CEREALI,MERENDINE,10,9.0,PZ,2.02,3.19,B012
469,COD_EE1A45EEFA,asse da stiro 1,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,4.0,PZ,32.83,49.5,B084
470,COD_46DDDEF1FB,stendibiancheri,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,4.0,PZ,26.56,46.09,B084
471,COD_3D35441D4B,stendino infini,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,2.0,PZ,41.31,65.2,B084
472,COD_51B3D75285,stendino solar,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,2.0,PZ,26.42,36.69,B084
474,COD_4C09C3743F,stendino mixer ,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,4.0,PZ,22.21,34.5,B084
475,COD_A1384A8E10,stendino ghibli,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,6.0,PZ,17.04,27.4,B084
477,COD_279489D10E,stendibiancheri,BAZAR LEGGERO,CASA ARREDO,PULIZIA CASA,22,5.0,PZ,3.98,6.89,B084
501,COD_C6357937E0,cuore di iceber,FRUTTA E VERDURA,TERZA E QUARTA GAMMA,VERDURA IN FOGLIA DI QUARTA,04,6.0,PZ,1.88,2.89,B138
506,COD_F04611A428,lax prugna doy ,FRUTTA E VERDURA,LEGUMI E FRUTTA SECCA,MOUSSE E SMOOTIES,10,6.0,PZ,1.49,1.99,B136
543,COD_BD1A724D80,bibita s.zucch&,BEVANDE,BEVANDE GASSATE,COLA,22,4.0,PZ,3.49,3.79,B054
544,COD_301C4013C1,bibita bipack 1,BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,3.0,PZ,2.59,3.49,B059
545,COD_1DFC2A0FB3,bibita zero lem,BEVANDE,BEVANDE GASSATE,ARANCIATA,22,6.0,PZ,2.02,2.59,B058
546,COD_3DCFB87863,"bibita lemon 1,",BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,6.0,PZ,0.73,1.29,B058
549,COD_79C59706D6,snack 42gx3,FRESCHI,PREPARATI PIATTI PRONTI/SPECIALITA',SNACK SALATI,04,6.0,PZ,1.85,2.79,B151
550,COD_185F5E7A78,petto di tacchi,FRESCHI,SALUMI BLS,SALUMI AFFETTATI,10,12.0,PZ,1.62,2.59,B135
551,COD_F1F3F66CFF,petto di pollo ,FRESCHI,SALUMI BLS,SALUMI AFFETTATI,10,12.0,PZ,0.52,1.49,B135
554,COD_BCF37893EA,yogurt mix 140g,FRESCHI,YOGURT,YOGURT BICOMPARTIMENTALE,10,12.0,PZ,0.04,0.65,B154
601,COD_2E4CBD3284,biscotti alvear,SCATOLAME DOLCE,PRODOTTI DA FORNO: BISCOTTI E PASTICCER.,BISCOTTI TRADIZIONALI,10,12.0,PZ,0.84,1.79,B012
605,COD_E5E2F40F21,spinacina granc,SURGELATI,SURGELATO CARNE,SURGELATI CARNE,10,8.0,PZ,2.68,4.79,B133
606,COD_0EBC2E698C,cotolette sotti,SURGELATI,SURGELATO CARNE,SURGELATI CARNE,10,9.0,PZ,2.31,3.89,B133
615,COD_D8EE72D6D2,venus lame inti,CURA PERSONA,RASATURA/DEPILAZIONE,LAME E RASOI PER DONNA,22,10.0,PZ,8.5,14.6,B129
627,COD_21FEE7A5E3,yosoi 2x125g bi,FRESCHI,YOGURT,SOSTITUTIVI DELLO YOGURT,10,6.0,PZ,1.39,2.19,B043
633,COD_54B3E1AC41,tavoletta nocci,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,17.0,PZ,1.28,2.19,B033
634,COD_F8283DEC6C,tavoletta 250g ,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,17.0,PZ,3.53,5.49,B033
635,COD_7D0ACFC1AB,tavoletta 90g n,SCATOLAME DOLCE,FUORI PASTO DOLCI CIOCCOLATO E DA GELARE,"TAVOLETTE, BARRE AL CIOCCOLATO",10,25.0,PZ,0.85,1.59,B033
636,COD_7EE1114037,wurstel di tofu,FRESCHI,GASTRONOMIA VEGETALE SOSTITUTIVA,WURSTEL VEGETALI,10,6.0,PZ,2.55,3.99,B043
637,COD_BCB7A0C511,la pizzeria 160,FRESCHI,GASTRONOMIA VEGETALE SOSTITUTIVA,SOSTITUTIVI DEL FORMAGGIO,10,10.0,PZ,2.29,3.69,B043
642,COD_39A348F4E9,risotto 175g pe,SCATOLAME SALATO,PREPARATI E PIATTI PRONTI,PREP PRIMI PIATTI,10,15.0,PZ,0.94,1.59,B052
647,COD_7BDBF65194,' dolce da mont,FRESCHI,LATTICINI UHT - PANNA E BESCIAMELLA,PANNA UHT,10,20.0,PZ,2.05,2.69,B153
658,COD_0993FDC1A9,crema fluida id,CURA PERSONA,CORPO MANI PIEDI,TRATTAMENTO CORPO,22,12.0,PZ,5.01,7.79,B123
659,COD_902B20DD73,crema fluida nu,CURA PERSONA,CORPO MANI PIEDI,TRATTAMENTO CORPO,22,12.0,PZ,3.61,6.39,B123
662,COD_50A47479C7,energy 25cl reg,BEVANDE,BEVANDE GASSATE,ENERGY DRINK,22,24.0,PZ,1.32,1.89,B060
679,COD_C89BBB4EE0,prosciutto prag,GASTRONOMIA,SALUMI,PROSCIUTTO COTTO,10,1.0,KG,6.46,17.0,B141
681,COD_BE9A8D97ED,tea 25filtri fr,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE TEA/CAMOMILLA,TEA,10,24.0,PZ,1.97,2.89,B051
687,COD_704E4DACE4,passata 680g ru,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,1.77,2.29,B049
689,COD_C019255754,spazzolino whit,CURA PERSONA,IGIENE ORALE,SPAZZOLINI,22,12.0,PZ,2.39,3.65,B132
695,COD_933FA8F17A,passata pummaro,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,0.09,0.39,B051
